piece|count
Monotones No. 2|3
The Shadow|3
The Sons of Horus|3
Consolations and Liebestraum|3
Dear Norman|3
Pursuit|3
Olympiad|3
Return to the Strange Land|3
Les Lutins|3
Concerto - pas de deux|3
Fantasy|3
Young Apollo|3
Job: Satan's Solo|3
Tweedledum and Tweedledee|3
Die Fledermaus - Voices of Spring pas de deux|3
Napoli - Man's Solo, Act III|2
Mr Worldly Wise - Excerpt|2
Piano|2
Chroma - divertissement|2
La Bayadere - Coda, Act II (The Kingdom of Shades)|2
Midsummer|2
Thais - Pas de deux|2
Beauty and the Beast|2
The Sleeping Beauty - Lilac Fairy, Rose Adage|2
Raymonda - Grand Pas,Coda|2
Romeo and Juliet - 'Balcony Scene' pas de deux|2
Orpheus|2
Pas de deux|2
Rubies|2
Enclosure|2
The Taming of the Shrew|2
The Prince of the Pagodas - pas de deux, Act III|2
Towards Poetry|2
Sylvia - Pas de deux,variations and coda|2
The Walk to the Paradise Garden|2
Cinderella - 'Oranges'|2
Chanson|2
Other Dances|2
Ballet Imperial - Excerpt|2
Night Tryst|2
La Fille mal gardee - Clog Dance|2
Romeo and Juliet - balcony scene|2
Marguerite and Armand - excerpt|2
Pavane|2
The Good Humoured Ladies - Costanza's solo|2
Meditation from Thais|2
Symphonic Variations - pas de deux|2
Facade - excerpt|2
'A Royal Ballet'|2
'Farewell', a pas de deux from Winter Dreams|2
The Planets|2
La Bayadere - Bronze Idol|2
Romeo and Juliet - pas de deux|2
Harlequin in April|2
The Firebird - Final tableau|2
Birthday Offering - Men's Dance|2
Soupirs pas de deux|2
Manon - pas de deux, Act III|2
Elite Syncopations - Cascades|2
Walk and Talk|2
Brahms Waltzes in the Manner of Isadora Duncan|2
The Fourth Symphony|2
Lento|2
A Month in the Country - 'Cherries'|2
Room of Cooks|2
Gloria - pas de deux|2
Ondine - pas de deux - Act III|2
Impromptu|2
The Spirit of Fugue|2
Les Biches - Hostess Solo|2
The Sleeping Beauty - Awakening Pas de deux - Act II|2
La Bayadere - Act IV 'The Kingdom of the Shades'|1
Romeo and Juliet - Balcony Pas de Deux from Act I|1
Les Rendezvous - excerpt|1
The Magpie's Tower|1
A Month in the Country - pas de deux|1
Coppelia - Act I Czardas|1
Don Juan - pas de deux|1
'Still Life' at the Penguin Cafe|1
La Fille mal gardee - Fanny Elssler Pas de Deux from Act II|1
Sawdust and Tinsel|1
Chroma - trio|1
The Four Seasons - 'Summer' pas de deux|1
Raymonda pas de deux|1
Half the House|1
Solo|1
Nursery Suite - Extract|1
Les Lac des cygnes - Neapolitan Dance, Act III|1
Opus 19/The Dreamer|1
La Fille mal gardee - Act I|1
Tidelines|1
Cinderella - Act II pas de deux|1
Nocturne - excerpt|1
La Fille mal gardee - excerpt|1
The Dream - Scherzo|1
The Sleeping Beauty - end of Act I|1
Ballabile|1
Carmen - Pas de deux and solo variations|1
Stoics Quartet|1
Onegin - Act III scene 1|1
Cheating, Lying, Stealing|1
Enigma Variations - 'Troyte'|1
Birthday Offering - extracts|1
Concerto - Pas de deux|1
The Trial of Prometheus|1
Romeo and Juliet - Act I Balcony Scene|1
The Nutcracker - Pas de deux|1
Jazz Calendar - Friday's Child|1
Les Patineurs - excerpt|1
Grand pas classique|1
Checkmate - Black Queen Solo|1
Signed in Red|1
Le Corsaire - pas de trois|1
Facade - The Tango|1
Scenes de ballet - solo|1
The Two Pigeons - Act II pas de deux|1
Tryst - pas de deux|1
The Sleeping Beauty - Grand pas de deux from Act III|1
Highly Strung|1
Romeo and Juliet - Act I Balcony Pas de deux|1
Stars and Stripes - Pas de deux|1
Party Game|1
The Nutcracker - Grand pas de deux|1
The Sleeping Beauty - Bluebird Pas de Deux from Act III|1
The Nutcracker - Snowflakes|1
Dream of Angels|1
Talisman pas de deux|1
Giselle - excerpt from Act II|1
La Chatte metamorphose en femme|1
A Wedding Bouquet - excerpt|1
The Prince of the Pagodas - Act III|1
Symphony in C - Finale|1
Birthday Offering - entree, pas de deux|1
Dante Sonata - excerpt|1
La Belle dame sans merci|1
Apparitions - excerpt|1
Le Chant du compagnon errant (Lieder eines fahrenden Gesellen)|1
Raymonda 'Scene d'amour'|1
All Nighter|1
Winter Dreams - Farewell Pas de deux|1
Swan Lake - pas de deux from Act III|1
Pas de sept|1
Nimbus|1
Fleeting Figures|1
The Sleeping Beauty - Act III Pas de deux|1
Manon - Act I Bedroom pas de deux|1
Romeo and Juliet - pas de trois from Act I|1
The Concert - 'Mistake' Waltz|1
Ondine - excerpt|1
Present Histories|1
When We Stop Talking|1
Symphony in C - fourth movement|1
Manon - Pas de deux from Act III|1
All Things Considered|1
The Leaves are Fading - pas de deux|1
Daphnis and Chloe - excerpt|1
Desirable Hostilities|1
Manon - Act I pas de deux|1
L'invitation au voyage|1
Gloriana|1
Sylvia - excerpt|1
Two Footnotes to Ashton - I|1
The Sleeping Beauty - Act II pas de deux|1
La Sylphide - The Reel|1
La Luna|1
Winter Dreams - Kulygin's solo|1
Monotones II - first and second movements|1
The Sleeping Beauty - The Awakening Pas de deux|1
Napoli|1
Variation|1
The Nutcracker - Act I|1
Monotones - excerpt|1
Horseplay|1
Homage to the Queen - excerpt|1
Homage to The Queen - Entree|1
The Sleeping Beauty - Aurora pas de deux, Act III|1
Jabez and the Devil|1
Capriol Suite - excerpt|1
Capriccio for Piano and Orchestra|1
A Shropshire Lad|1
Figure in Progress|1
Anastasia - Act II pas de deux|1
The Sleeping Beauty - Awakening pas de deux from Act II|1
Jewels - Rubies|1
Souvenir|1
Job - Satan's Dance of Triumph|1
Amazon Forest pas de deux|1
Morning|1
Odalisque|1
Valse eccentrique|1
Jazz Calendar - excerpt|1
Persephone - excerpt|1
Number Three|1
Carmen - excerpt|1
Soft Underbelly|1
Cinderella - Act II Pas de deux|1
Hamlet Prelude|1
Words Apart - pas de deux|1
Caught Dance|1
A Broken Set of Rules|1
The Sleeping Beauty - Awakening pas de deux - Act II|1
La Bayadere - Solor's Act I Solo|1
Laurentia pas de six|1
Firstext|1
Bugaku|1
Giselle - excerpt|1
Symphonic Variations - excerpt|1
Requiem - 'Sanctus' and 'Pie Jesu'|1
Bloodlines|1
Le Lac des cygnes - Act II|1
Varii Capricci - pas de deux|1
Two or Three Dialogues|1
Don Quixote - pas de deux from Act III|1
The Concert - 'Carries' and 'Mistake Waltz'|1
Birthday Offering - excerpt|1
The Concert (Or, the perils of everybody)|1
Swan Lake - Act II pas de deux|1
Love's Fool|1
The Prince of the Pagodas - Pas de deux, Act III|1
Salut d'amour a Margot Fonteyn|1
Lament of the Waves - pas de deux (excerpt)|1
Swan Lake - excerpt|1
In the Hothouse|1
Herman Schmerman - Pas de deux|1
